output,ground_truth,label
Yes.,TRUE,1
Yes.,TRUE,1
Yes.,TRUE,1
No.,TRUE,1
3765,3765,0
387,61,0
1243,1243,1
0,0,1
ING España,ING España,1
es,es,1
INGdigno1999,juan prin,0
reply,reply,1
"ING España, Emilio Cubo Ruiz, and INGdigno1999.","['Lavincompae', '#NI UNA MENOS \xa0♐\xa0✊\xa0🚺', 'SFC The World']",0
es,"['es', 'es', 'es', 'es', 'es']",1
"Based on the query results, the authors of the 4 shortest posts are:

1. . (1 post)
2. Nach*","['Correctorada', 'El Joker', 'Xenia Viladas', 'DrJaus \xa0🇪🇸']",0
"reply, original","['reply', 'original']",1
"The retweet counts for the top 5 most favorited posts are 9, 9, 9, 9, 9.","[0, 0, 0, 0, 3]",0
"387, 362, 357","[61, 60, 59]",0
"0, 0, 1, 0","[0, 0, 1, 0]",1
"The word counts for the 6 shortest posts are 4, 4, 5, 5, 6, 6.","[1, 1, 1, 1, 1, 1]",0
Yes.,TRUE,1
Yes.,TRUE,1
No.,FALSE,1
Yes.,TRUE,1
20,20,1
780,1125,0
160,160,1
80.94,80.94,1
Ground,Poison,0
Trapinch,Shuckle,0
type2,Flying,0
"Aromatisse has a special attack of 99, which is the highest among the Pokémon listed in the table, and its primary type is Fairy.",Mega Mewtwo Y (Psychic),0
"Mega Mewtwo X, Mega Mewtwo Y, Mega Rayquaza.","['Eternamax Eternatus', 'Mega Mewtwo X', 'Mega Mewtwo Y']",0
"Shedinja, Diglett, Alolan Diglett, and two Pokémon with 100 hp stats are not available","['Shedinja', 'Diglett', 'Alolan Diglett', 'Magikarp', 'Pichu']",1
"Based on the table data, the top 4 primary categories are:

1. Grass
2. Fire
3. (No third category appears in the data)
4. (No fourth category appears in the data)","['Water', 'Normal', 'Grass', 'Bug']",0
"The 6 Pokémon from the second generation with the highest attack stats are: 

1. Mega Ampharos
2. Qwilfish
3. Sneasel
4. Kingdra
5. Stantler
6. Hitmontop","['Mega Heracross', 'Mega Tyranitar', 'Mega Scizor', 'Tyranitar', 'Scizor', 'Ursaring']",0
"['99', '98', '98', '98', '98']","[250, 230, 200, 160, 160]",0
[],"[20, 31, 50]",0
95,"[135, 127, 125, 125]",0
[],"[175, 180, 180, 185, 190, 194]",0
Yes.,TRUE,1
